id,user_id,rating
1197,311,5.00
4297,527,5.00
5244,521,4.00
4841,538,5.00
2597,538,5.00
4481,2092,5.00
5242,2152,5.00
4297,1800,5.00
4724,1800,5.00
4841,1800,5.00
4491,1800,5.00
4964,2235,5.00
4481,1808,5.00
5244,1808,5.00
5244,1800,5.00
4923,1800,5.00
5192,2088,5.00
1906,1768,4.00
5238,1800,5.00
5240,1800,4.00
5241,1800,5.00
5237,1800,5.00
5239,1800,5.00
5233,1800,5.00
5235,1800,5.00
5234,1800,5.00
5236,1800,5.00
5231,1800,5.00
5228,1800,5.00
5232,1800,5.00
5242,1800,5.00
5230,1800,5.00
5224,1800,4.00
5226,1800,4.00
5229,1800,4.00
5222,1800,5.00
5223,1800,4.00
5220,1800,4.00
5217,1800,4.00
5218,1800,5.00
5219,1800,5.00
5216,1800,5.00
5221,1800,4.00
3452,2075,5.00
4297,1825,4.00
1432,1985,4.00
1451,1985,4.00
3740,1800,4.00
5225,1800,4.00
2639,1800,3.00
2402,1800,4.00
3197,1800,4.00
2452,1800,5.00
4724,1825,5.00
5192,1954,5.00
5169,1880,5.00
5242,1985,5.00
5241,1985,5.00
3762,1800,4.00
2717,1800,4.00
2727,1800,3.00
5105,1800,5.00
5215,1800,5.00
5212,1800,5.00
5214,1800,4.00
5211,1800,5.00
5209,1800,5.00
5207,1800,4.00
5208,1800,5.00
5206,1800,4.00
5205,1800,4.00
4724,2165,5.00
4296,2080,5.00
1293,2080,5.00
5579,1800,4.00
5580,1800,4.00
5581,2080,5.00
3740,2080,5.00
2358,2080,5.00
1363,2052,5.00
1424,2052,5.00
1363,2090,5.00
4491,1888,4.00
5581,1800,4.00
4391,2080,5.00
5582,1800,4.00
5578,1800,4.00
5577,1800,4.00
4724,1820,5.00
1363,665,5.00
4724,665,5.00
5191,1985,5.00
2597,658,5.00
4724,1671,5.00
5582,1671,5.00
1363,1825,5.00
4297,1999,5.00
5582,1999,5.00
5581,1999,5.00
5580,1999,5.00
5579,1999,5.00
2932,2046,5.00
4724,1974,5.00
5580,1671,5.00
1424,1671,5.00
4148,1947,5.00
5576,1947,5.00
5575,1947,5.00
4863,1947,5.00
5502,2080,5.00
4491,1878,5.00
4841,1823,4.00
4481,2080,5.00
4841,2011,5.00
2601,1985,5.00
4724,1823,4.00
5582,1795,5.00
5581,1795,5.00
3579,1823,3.00
5580,1795,5.00
2597,1795,5.00
4297,2007,3.00
4724,2007,4.00
1424,1947,5.00
4724,1947,5.00
4481,1947,5.00
1363,1947,5.00
